Rang,School Name,Type,Pupils KS4,Pupils Measured,Progress 8 Score,Progress 8 Description,Entering EBacc,Staying in Education/Employment,Grade 5+ English & Maths (%),Attainment 8,EBacc Avg Point Score,Address,City,Latitude,Longitude,,,
1,Chelmsford County High School for Girls,Academy,151,135,0.76,Well above average,98.00%,100% (149 of 149),100.00%,80.6,7.96,"Broomfield Road, Chelmsford, Essex, CM1?1RW",Chelmsford (Essex),51.74341,	0.46783,,,
2,Chesham Grammar School,Academy,181,152,0.84,Well above average,90.60%,98% (174 of 177),100.00%,76.7,7.51,"White Hill, Chesham, Buckinghamshire, HP5?1BA",Chesham (Buckinghamshire),51.7092 N,-0.6004 W,,,
3,Colchester Royal Grammar School,Academy,124,102,1.09,Well above average,77.40%,--,100.00%,83.4,7.99,"6 Lexden Road, Colchester, Essex, CO3?3ND",Colchester (Essex),51.8856 N,0.8947 E,,,
4,Emmanuel School,Independent,47,N/A,N/A,N/A,28.60%,--,100.00%,59.5,4.98,"1-3?Emmanuel Road, Liverpool, Merseyside, L15?2HS",Liverpool (Walsall),53.4054 N,-2.9441 W,,,
5,Heritage Academy,Independent,10,N/A,N/A,N/A,100.00%,--,100.00%,78.4,7.75,"327 Moseley Road, Birmingham, West Midlands, B12?0DX",Birmingham,52.4720 N,-1.8835 W,,,
6,Kendrick School,Academy,97,90,1.07,Well above average,92.80%,100% (99 of 99),100.00%,84.4,8.28,"London Road, Reading, Berkshire, RG1?5BN",Reading,51.4543 N,-0.9723 W,,,
7,King Edward VI Camp Hill School for Boys,Academy,119,101,1.09,Well above average,85.70%,100% (120 of 120),100.00%,83.3,8.03,"Vicarage Road, Kings Heath, Birmingham, B14?7QJ",Birmingham,52.4483 N,-1.8467 W,,,
8,King Edward VI Camp Hill School for Girls,Academy,148,129,0.96,Well above average,85.10%,99% (146 of 147),100.00%,82.3,7.96,"Vicarage Road, Kings Heath, Birmingham, B14?7QJ",Birmingham,52.4486 N,-1.8464 W,,,
9,King Edward VI Handsworth School,Academy,158,147,0.8,Well above average,84.20%,99% (159 of 160),100.00%,77.3,7.32,"Rose Hill Road, Handsworth, Birmingham, B21?9TA",Birmingham,52.5299 N,-1.9100 W,,,
10,King Edward VI School,Academy,90,73,1.21,Well above average,85.60%,100% (90 of 90),100.00%,81.7,7.85,"Church Street, Stratford-upon-Avon, Warwickshire, CV37?6HB",Stratford-upon-Avon,52.1917 N,-1.7070 W,,,
11,"Queen Elizabeth's School, Barnet",Academy,188,169,1.22,Well above average,100.00%,99% (190 of 191),100.00%,86.6,8.67,"Queen's Road, Barnet, London, EN5?4DQ",Barnet (London),51.6517 N,-0.2000 W,,,
12,Reading School,Academy,150,131,0.89,Well above average,96.00%,99% (147 of 148),100.00%,81.1,8,"Erleigh Road, Reading, Berkshire, RG1?5LW",Reading,51.4541 N,-0.9603 W,,,
13,Southend High School for Girls,Academy,178,164,0.74,Well above average,69.10%,99% (176 of 177),100.00%,75.8,7.04,"Southchurch Boulevard, Southend-on-Sea, Essex, SS2?4UZ",Southend-on-Sea,51.5425 N,0.7062 E,,,
14,St Bernard's Catholic Grammar School,Maintained,157,151,0.93,Well above average,96.20%,99% (124 of 125),100.00%,76.7,7.35,"1 Langley Road, Slough, Berkshire, SL3?7AF",Slough,51.5131 N,-0.5963 W,,,
